rotate,8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,4,z,i,i,i,i,i,i,i,i,i,i,i,i,,
